번호,배속,차종,연료
5001,2차고지,일렉시티2,전기
5002,본사,에어로시티,CNG
5004,2차고지,유니버스,CNG
5006,2차고지,유니버스,CNG
5008,본사,에어로시티,CNG
5009,2차고지,일렉시티2,전기
5010,2차고지,일렉시티2,전기
5011,본사,일렉시티2,전기
5012,2차고지,저상 에어로시티,CNG
5013,2차고지,일렉시티2,전기
5014,2차고지,일렉시티2,전기
5015,2차고지,저상 에어로시티,CNG
5016,2차고지,저상 에어로시티,CNG
5018,본사,일렉시티2,전기
5019,2차고지,일렉시티2,전기
5021,본사,에어로시티,CNG
5022,2차고지,저상 에어로시티,CNG
5023,2차고지,일렉시티2,전기
5024,본사,일렉시티2,전기
5025,2차고지,일렉시티2,전기
5026,2차고지,그린시티,디젤
5027,2차고지,카운티,디젤
5028,본사,에어로시티,CNG
5031,2차고지,일렉시티,전기
5032,본사,에어로시티,CNG
5033,본사,에어로시티,CNG
5034,본사,에어로시티,CNG
5035,본사,에어로시티,CNG
5036,본사,에어로시티,CNG
5037,본사,에어로시티,CNG
5038,본사,에어로시티,CNG
5039,본사,에어로시티,CNG
5040,본사,에어로시티,CNG
5043,2차고지,일렉시티2,전기
5044,2차고지,저상 에어로시티,CNG
5045,2차고지,일렉시티2,전기
5046,2차고지,에어로시티,CNG
5047,2차고지,에어로시티,CNG
5048,2차고지,에어로시티,CNG
5049,2차고지,에어로시티,CNG
5050,2차고지,에어로시티,CNG
5051,2차고지,에어로시티,CNG
5052,2차고지,유니버스,CNG
5053,2차고지,유니버스,CNG
5054,2차고지,저상 에어로시티,CNG
5055,2차고지,저상 에어로시티,CNG
5056,2차고지,일렉시티2,전기
5057,2차고지,유니버스,CNG
5058,2차고지,일렉시티2,전기
5059,2차고지,일렉시티2,전기
5060,2차고지,일렉시티2,전기
5061,2차고지,일렉시티2,전기
5062,본사,에어로시티,CNG
5063,2차고지,일렉시티2,전기
5064,2차고지,일렉시티2,전기
5065,본사,에어로시티,CNG
5066,본사,일렉시티2,전기
5067,본사,일렉시티2,전기
5068,2차고지,저상 에어로시티,CNG
5069,본사,일렉시티2,전기
5070,본사,일렉시티2,전기
5071,2차고지,유니버스,CNG
5072,본사,일렉시티2,전기
5073,본사,일렉시티2,전기
5074,2차고지,일렉시티2,전기
5075,2차고지,일렉시티2,전기
5077,본사,일렉시티2,전기
5078,본사,일렉시티2,전기
5079,본사,일렉시티2,전기
5080,본사,일렉시티2,전기
5081,2차고지,그린시티,디젤
5082,본사,일렉시티2,전기
5083,본사,일렉시티2,전기
5084,본사,일렉시티2,전기
5085,본사,에어로시티,CNG
5086,2차고지,저상 에어로시티,CNG
5087,본사,에어로시티,CNG
5088,본사,에어로시티,CNG
5089,본사,일렉시티2,전기
5090,2차고지,저상 에어로시티,CNG
5092,2차고지,유니버스,CNG
5093,2차고지,저상 에어로시티,CNG
5094,본사,일렉시티2,전기
5095,본사,에어로시티,CNG
5096,2차고지,일렉시티2,전기
5097,본사,에어로시티,CNG
5098,2차고지,에어로시티,CNG
5099,본사,에어로시티,CNG
5100,2차고지,저상 에어로시티,CNG
5101,2차고지,저상 에어로시티,CNG
5102,2차고지,저상 에어로시티,CNG
5104,2차고지,일렉시티2 FCEV,수소
5106,2차고지,에어로시티,CNG
5107,2차고지,에어로시티,CNG
5108,2차고지,에어로시티,CNG
5109,2차고지,에어로시티,CNG
5110,2차고지,에어로시티,CNG
5111,2차고지,에어로시티,CNG
5112,2차고지,에어로시티,CNG
5113,본사,에어로시티,CNG
5114,2차고지,에어로시티,CNG
5115,2차고지,일렉시티2,전기
5116,2차고지,일렉시티2,전기
5117,2차고지,그린시티,디젤
5118,2차고지,저상 에어로시티,CNG
5119,2차고지,저상 에어로시티,CNG
5120,2차고지,저상 에어로시티,CNG
5121,2차고지,저상 에어로시티,CNG
5122,2차고지,저상 에어로시티,CNG
5123,2차고지,저상 에어로시티,CNG
5124,2차고지,저상 에어로시티,CNG
5125,2차고지,저상 에어로시티,CNG
5126,2차고지,저상 에어로시티,CNG
5127,2차고지,아폴로1100,전기
5128,2차고지,유니버스,CNG
5129,2차고지,유니버스,CNG
5130,2차고지,유니버스,CNG
5131,본사,에어로시티,CNG
5132,본사,에어로시티,CNG
5133,본사,에어로시티,CNG
5134,본사,에어로시티,CNG
5135,2차고지,일렉시티,전기
5136,2차고지,일렉시티,전기
5137,2차고지,일렉시티,전기
5138,2차고지,일렉시티,전기
5139,2차고지,에어로시티,디젤
5140,본사,일렉시티2,전기
5141,본사,일렉시티2,전기
5142,2차고지,일렉시티2,전기
5143,2차고지,일렉시티2,전기
5144,2차고지,일렉시티2,전기
5145,2차고지,일렉시티2,전기
5146,2차고지,일렉시티2,전기
5147,2차고지,일렉시티2,전기
5148,2차고지,일렉시티2,전기
5149,2차고지,일렉시티2,전기
